"row_number","minute_adjusted","seconds","player","team","score","scoremargin","points_scored"
"2",47,15,"Kristaps Porzingis","NYK","4 - 0","-4",2
"3",46,59,"LeBron James","CLE","4 - 2","-2",2
"4",45,59,"JR Smith","CLE","4 - 4","0",2
"5",45,44,"Kristaps Porzingis","NYK","5 - 4","-1",1
"6",44,47,"Carmelo Anthony","NYK","7 - 4","-3",2
"7",43,56,"JR Smith","CLE","7 - 7","0",3
"8",43,12,"Carmelo Anthony","NYK","10 - 7","-3",3
"9",42,48,"Kevin Love","CLE","10 - 9","-1",2
"10",42,48,"Kevin Love","CLE","10 - 10","0",1
"11",42,13,"Kyrie Irving","CLE","10 - 12","2",2
"12",41,56,"LeBron James","CLE","10 - 14","4",2
"13",41,38,"Carmelo Anthony","NYK","12 - 14","2",2
"14",40,25,"Kyrie Irving","CLE","12 - 15","3",1
"15",40,16,"Kyrie Irving","CLE","12 - 17","5",2
"16",40,5,"Carmelo Anthony","NYK","14 - 17","3",2
"17",39,37,"LeBron James","CLE","14 - 19","5",2
"18",39,17,"Carmelo Anthony","NYK","16 - 19","3",2
"19",38,16,"Kevin Love","CLE","16 - 21","5",2
"20",37,55,"Richard Jefferson","CLE","16 - 23","7",2
"21",37,28,"Kevin Love","CLE","16 - 24","8",1
"22",36,50,"Brandon Jennings","NYK","17 - 24","7",1
"23",36,50,"Brandon Jennings","NYK","18 - 24","6",1
"24",36,40,"Kevin Love","CLE","18 - 25","7",1
"25",36,3,"Kevin Love","CLE","18 - 28","10",3
"26",34,55,"LeBron James","CLE","18 - 30","12",2
"27",34,2,"Willy Hernangomez","NYK","20 - 30","10",2
"28",33,46,"Richard Jefferson","CLE","20 - 32","12",2
"29",33,36,"Brandon Jennings","NYK","21 - 32","11",1
"30",33,36,"Brandon Jennings","NYK","22 - 32","10",1
"31",33,1,"Derrick Rose","NYK","24 - 32","8",2
"32",32,36,"LeBron James","CLE","24 - 34","10",2
"33",31,33,"LeBron James","CLE","24 - 36","12",2
"34",31,7,"Derrick Rose","NYK","26 - 36","10",2
"35",30,50,"JR Smith","CLE","26 - 39","13",3
"36",30,30,"Carmelo Anthony","NYK","28 - 39","11",2
"37",30,11,"Derrick Rose","NYK","30 - 39","9",2
"38",29,47,"Kristaps Porzingis","NYK","33 - 39","6",3
"39",29,11,"Justin Holiday","NYK","36 - 39","3",3
"40",28,55,"Kyrie Irving","CLE","36 - 41","5",2
"41",28,40,"Justin Holiday","NYK","39 - 41","2",3
"42",28,13,"Derrick Rose","NYK","41 - 41","0",2
"43",27,59,"Kyrie Irving","CLE","41 - 44","3",3
"44",27,17,"Kristaps Porzingis","NYK","42 - 44","2",1
"45",27,9,"Richard Jefferson","CLE","42 - 46","4",2
"46",25,42,"Derrick Rose","NYK","44 - 46","2",2
"47",24,38,"Kristaps Porzingis","NYK","45 - 46","1",1
"48",24,27,"Iman Shumpert","CLE","45 - 48","3",2
"49",23,4,"Kevin Love","CLE","45 - 50","5",2
"50",22,47,"LeBron James","CLE","45 - 51","6",1
"51",21,54,"Kristaps Porzingis","NYK","47 - 51","4",2
"52",21,35,"Kyrie Irving","CLE","47 - 54","7",3
"53",21,22,"Carmelo Anthony","NYK","49 - 54","5",2
"54",21,5,"LeBron James","CLE","49 - 56","7",2
"55",20,46,"LeBron James","CLE","49 - 58","9",2
"56",20,4,"Kevin Love","CLE","49 - 61","12",3
"57",18,21,"Carmelo Anthony","NYK","50 - 61","11",1
"58",18,21,"Carmelo Anthony","NYK","51 - 61","10",1
"59",18,6,"Kyrie Irving","CLE","51 - 63","12",2
"60",17,43,"Kyrie Irving","CLE","51 - 66","15",3
"61",16,52,"Channing Frye","CLE","51 - 69","18",3
"62",16,35,"Carmelo Anthony","NYK","53 - 69","16",2
"63",16,6,"Kyrie Irving","CLE","53 - 72","19",3
"64",15,47,"Kyrie Irving","CLE","53 - 74","21",2
"65",15,30,"Lance Thomas","NYK","55 - 74","19",2
"66",14,57,"Justin Holiday","NYK","56 - 74","18",1
"67",14,57,"Justin Holiday","NYK","57 - 74","17",1
"68",14,33,"Kyrie Irving","CLE","57 - 76","19",2
"69",14,14,"Kristaps Porzingis","NYK","60 - 76","16",3
"70",13,50,"Kyrie Irving","CLE","60 - 78","18",2
"71",13,5,"Kristaps Porzingis","NYK","63 - 78","15",3
"72",12,42,"Kyrie Irving","CLE","63 - 80","17",2
"73",12,29,"Brandon Jennings","NYK","64 - 80","16",1
"74",12,5,"Mike Dunleavy","CLE","64 - 82","18",2
"75",11,15,"Mindaugas Kuzminskas","NYK","66 - 82","16",2
"76",10,53,"DeAndre Liggins","CLE","66 - 84","18",2
"77",10,26,"Mindaugas Kuzminskas","NYK","69 - 84","15",3
