"player1_name","player1_id","player1_team_abbreviation"
"Channing Frye",101112,"CLE"
"Chris Andersen",2365,"CLE"
"DeAndre Liggins",202732,"CLE"
"Iman Shumpert",202697,"CLE"
"JR Smith",2747,"CLE"
"James Jones",2592,"CLE"
"Jordan McRae",203895,"CLE"
"Kevin Love",201567,"CLE"
"Kyrie Irving",202681,"CLE"
"LeBron James",2544,"CLE"
"Mike Dunleavy",2399,"CLE"
"Richard Jefferson",2210,"CLE"
"Brandon Jennings",201943,"NYK"
"Carmelo Anthony",2546,"NYK"
"Derrick Rose",201565,"NYK"
"Justin Holiday",203200,"NYK"
"Kristaps Porzingis",204001,"NYK"
"Kyle O'Quinn",203124,"NYK"
"Lance Thomas",202498,"NYK"
"Mindaugas Kuzminskas",1627851,"NYK"
"Ron Baker",1627758,"NYK"
"Sasha Vujacic",2756,"NYK"
"Willy Hernangomez",1626195,"NYK"
