"player_name","points","player_team_abbreviation","true_max_min"
"Devin Booker","12","PHX",8
"CJ McCollum","12","POR",10
"Marc Gasol","11","MEM",8
"Mike Conley","11","MEM",8
"Eric Bledsoe","9","PHX",7
"J.J. Barea","8","DAL",6
"Damian Lillard","7","POR",10
"TJ Warren","7","PHX",7
"Tyler Johnson","7","MIA",5
"Goran Dragic","6","MIA",5
"Devin Booker","6","PHX",7
"Eric Bledsoe","5","PHX",8
"Mason Plumlee","4","POR",10
"JaMychal Green","4","MEM",1
"Lance Stephenson","4","NOP",7
"Serge Ibaka","4","ORL",1
"Mike Conley","4","MEM",1
"Harrison Barnes","4","DAL",6
"Wesley Matthews","3","DAL",6
"Brandon Knight","2","PHX",7
"Hassan Whiteside","2","MIA",5
"TJ Warren","2","PHX",8
"Evan Fournier","2","ORL",1
"Justise Winslow","2","MIA",5
"Buddy Hield","2","NOP",7
"Tyson Chandler","2","PHX",8
"Dion Waiters","2","MIA",5
"Dorian Finney-Smith","2","DAL",6
"Vince Carter","2","MEM",8
"Marc Gasol","2","MEM",1
"Maurice Harkless","1","POR",10
"Andrew Harrison","1","MEM",1
"Al-Farouq Aminu","1","POR",10
"PJ Tucker","1","PHX",7
"Anthony Davis","1","NOP",7
