"row_number","minute_adjusted","seconds","player","team","score","scoremargin","points_scored"
"103",2,0,"Damian Lillard","POR","97 - 93","-4",2
"104",1,53,"Devin Booker","PHX","97 - 94","-3",1
"105",1,53,"Devin Booker","PHX","97 - 95","-2",1
"106",1,41,"Damian Lillard","POR","99 - 95","-4",2
"107",1,0,"TJ Warren","PHX","99 - 97","-2",2
"108",1,0,"TJ Warren","PHX","99 - 98","-1",1
"109",0,46,"Damian Lillard","POR","100 - 98","-2",1
"110",0,46,"Damian Lillard","POR","101 - 98","-3",1
"111",0,40,"TJ Warren","PHX","101 - 100","-1",2
"112",0,15,"PJ Tucker","PHX","101 - 101","0",1
"113",0,1,"Eric Bledsoe","PHX","101 - 103","2",2
"114",0,0,"Meyers Leonard","POR","103 - 103","0",2
"115",4,17,"Damian Lillard","POR","105 - 103","-2",2
"116",4,6,"Eric Bledsoe","PHX","105 - 105","0",2
"117",3,47,"Devin Booker","PHX","105 - 107","2",2
"118",3,10,"CJ McCollum","POR","106 - 107","1",1
"119",3,10,"CJ McCollum","POR","107 - 107","0",1
"120",2,54,"Brandon Knight","PHX","107 - 109","2",2
"121",2,19,"Eric Bledsoe","PHX","107 - 111","4",2
"122",1,57,"Meyers Leonard","POR","109 - 111","2",2
"123",1,36,"Devin Booker","PHX","109 - 113","4",2
"124",0,38,"TJ Warren","PHX","109 - 114","5",1
"125",0,38,"TJ Warren","PHX","109 - 115","6",1
"126",0,36,"Maurice Harkless","POR","111 - 115","4",2
"127",0,36,"Maurice Harkless","POR","112 - 115","3",1
"128",0,6,"Damian Lillard","POR","114 - 115","1",2
"129",0,6,"Damian Lillard","POR","115 - 115","0",1
"130",0,0,"Eric Bledsoe","PHX","115 - 118","3",3
