"player_name","points","player_team_abbreviation"
"Mike Conley","22","MEM"
"Devin Booker","18","PHX"
"Marc Gasol","16","MEM"
"Eric Bledsoe","14","PHX"
"CJ McCollum","12","POR"
"TJ Warren","9","PHX"
"J.J. Barea","8","DAL"
"Tyler Johnson","7","MIA"
"Damian Lillard","7","POR"
"JaMychal Green","6","MEM"
"Goran Dragic","6","MIA"
"Serge Ibaka","4","ORL"
"Harrison Barnes","4","DAL"
"Mason Plumlee","4","POR"
"Wesley Matthews","3","DAL"
"Dorian Finney-Smith","2","DAL"
"Dion Waiters","2","MIA"
"Brandon Knight","2","PHX"
"Hassan Whiteside","2","MIA"
"Tyson Chandler","2","PHX"
"Evan Fournier","2","ORL"
"Justise Winslow","2","MIA"
"Vince Carter","2","MEM"
"James Ennis III","2","MEM"
"Maurice Harkless","1","POR"
"PJ Tucker","1","PHX"
"Al-Farouq Aminu","1","POR"
"Andrew Harrison","1","MEM"
